Time,SNR,Speed,RSSI,PDR,Relative_Speed,Scenario
0.1,22.35,15.45,-48.38,0.999999894673147,15.4769837840238,2
0.2,21.62,15.44,-49.14,0.999999465184673,15.2243127727294,2
0.3,20.85,15.46,-49.92,0.999997415196243,15.3397998059537,2
0.4,20.07,15.5,-50.69,0.999988834565626,15.2959093267646,2
0.5,19.3,15.46,-51.46,0.999958015661191,15.1938348312917,2
0.6,18.53,15.55,-52.2,0.999858443161988,15.2234072734795,2
0.7,17.79,15.48,-52.93,0.999585737712799,15.0651648290225,2
0.8,17.06,15.54,-53.62,0.99890054571446,15.2817528938348,2
0.9,16.37,15.44,-54.31,0.997421527375505,15.0466268818536,2
1,15.69,15.49,-54.98,0.994386385031052,14.8763812798306,2
1.1,15.02,15.51,-55.62,0.98858048743245,14.9959084217982,2
1.2,14.37,15.53,-56.24,0.978380934192439,14.7817464169623,2
1.3,13.75,15.46,-56.84,0.961995734420964,14.8641355670816,2
1.4,13.15,15.5,-57.42,0.937005912146359,14.736344475567,2
1.5,12.57,15.49,-57.98,0.901133505879313,14.7653172263951,2
1.6,12.01,15.56,-58.53,0.852581907732699,14.8597133594756,2
1.7,11.47,15.48,-59,0.790570729406315,14.5649894123675,2
1.8,10.99,15.48,-59.45,0.722077907590096,14.9214307574522,2
1.9,10.55,15.48,-59.88,0.648679060078798,14.4357292412863,2
2,10.12,15.45,-60.27,0.568692586136855,14.3595549093893,2
2.1,9.72,15.5,-60.59,0.489269509069941,14.7271235067529,2
2.2,9.4,15.48,-60.83,0.42423494355617,14.3986396636222,2
2.3,9.16,15.45,-60.95,0.375721603740946,14.2819322252294,2
2.4,9.04,15.55,-61.03,0.351823595381183,14.3537402383465,2
2.5,8.97,15.44,-61.08,0.338047205698509,14.3650930491671,2
2.6,8.91,15.48,-61.15,0.326353173535629,15.2837934111214,2
2.7,8.84,15.54,-61.22,0.312860042534048,14.3627491177025,2
2.8,8.77,15.52,-61.28,0.299545818264705,14.3182010434297,2
2.9,8.71,15.54,-61.35,0.288289592004419,14.0815904481712,2
3,8.64,15.52,-61.43,0.275354648143579,13.910552748964,2
3.1,8.56,15.51,-61.51,0.260852542795947,13.949448739551,2
3.2,8.48,15.49,-61.59,0.24667269899306,13.6533377183538,2
3.3,8.41,15.51,-61.64,0.234547434922617,13.6717143715111,2
3.4,8.35,15.44,-61.7,0.224375221580368,13.4495011937951,2
3.5,8.29,15.55,-61.74,0.214415727181168,13.7157445110434,2
3.6,8.25,15.53,-61.77,0.207898120002846,13.4635012541174,2
3.7,8.22,15.54,-61.8,0.203075553993895,13.5461331582383,2
3.8,8.2,15.48,-61.81,0.199892255829627,13.9419351560704,2
3.9,8.18,15.53,-61.81,0.196734646783959,13.8158424677527,2
4,8.18,15.5,-61.81,0.196734646783959,13.5434529266836,2
4.1,8.18,15.53,-61.81,0.196734646783959,13.2762991370048,2
4.2,8.18,15.54,-61.82,0.196734646783959,13.2131336962952,2
4.3,8.17,15.55,-61.82,0.195165551677485,13.4391652069053,2
4.4,8.17,15.52,-61.83,0.195165551677485,13.7384007341234,2
4.5,8.16,15.54,-61.85,0.193602969102521,13.2421603863242,2
4.6,8.15,15.48,-61.87,0.192046928154666,13.5423420486314,2
4.7,8.12,15.55,-61.92,0.187418338831686,13.0112436582329,2
4.8,8.08,15.48,-61.97,0.181340149937945,14.2246319417324,2
4.9,8.02,15.44,-62.05,0.172426040641634,13.3860478253439,2
5,7.94,15.5,-62.14,0.160927528556561,13.8198385002718,2
5.1,7.85,15.48,-62.24,0.148531767244929,14.169693628311,2
5.2,7.75,15.56,-62.33,0.135442396798015,12.8269911655304,2
5.3,7.66,15.52,-62.42,0.124285704490729,12.7721622114662,2
5.4,7.58,15.52,-62.5,0.114868301847552,12.992321703012,2
5.5,7.5,15.55,-62.56,0.105921884873461,14.0550945464829,2
5.6,7.43,15.45,-62.63,0.098479047795049,12.4426084550312,2
5.7,7.36,15.55,-62.69,0.091393524555032,13.0346922085722,2
5.8,7.3,15.49,-62.75,0.08560210512498,13.1913526641344,2
5.9,7.24,15.53,-62.81,0.080068020718774,12.5509328866358,2
6,7.19,15.45,-62.86,0.075650495313483,13.6272215108038,2
6.09999999999999,7.14,15.49,-62.9,0.07140720181426,12.2392513916731,2
6.19999999999999,7.09,15.53,-62.95,0.067335705019785,12.394111975756,2
6.29999999999999,7.04,15.48,-62.99,0.063433338767644,12.617555528281,2
6.39999999999999,7,15.48,-63.04,0.060431288802795,12.5203437727845,2
6.49999999999999,6.96,15.52,-63.07,0.057534069601303,12.452134910372,2
6.59999999999999,6.92,15.51,-63.11,0.054740031299487,13.0183130090402,2
6.69999999999999,6.88,15.56,-63.14,0.052047450018562,12.9510976750687,2
6.79999999999999,6.85,15.51,-63.17,0.050093519073662,13.1030358031605,2
6.89999999999999,6.82,15.48,-63.2,0.048194870084716,12.2367265512662,2
6.99999999999999,6.79,15.47,-63.23,0.046350703561505,11.938388501692,2
7.09999999999999,6.76,15.44,-63.26,0.044560202075749,12.8212184554416,2
7.19999999999999,6.73,15.47,-63.29,0.042822531458131,12.1331505235677,2
7.29999999999999,6.7,15.49,-63.31,0.041136841998135,12.054795496981,2
7.39999999999999,6.68,15.48,-63.33,0.040041501307669,11.9287458349517,2
7.49999999999999,6.66,15.44,-63.36,0.038968620292178,12.4935541913182,2
7.59999999999999,6.63,15.5,-63.38,0.037400837458347,12.1750457337405,2
7.69999999999999,6.61,15.47,-63.4,0.036382955536578,11.9121679947673,2
